Avancement;Profondeur 1;Profondeur 2;Profondeur 3;Profondeur 4;Profondeur 5;Profondeur 6;Profondeur 7;Profondeur 8
41;7339800;2318100;3943000;33698200;33619900;28209400;62870300;120610500
31;604700;1089400;5279100;24016400;84877900;321719100;2260726700;2660766000
35;114400;484600;2639400;14207600;44913800;286876700;848227800;6281303900
13;90000;375200;1999200;8394400;31153500;129945000;502172800;2439299400
38;147300;246800;1988400;2506900;21327000;27689000;208544400;288918000
45;73600;290200;1066300;3820800;17130900;52111700;178336400;487998400
41;93700;501000;2695000;12034200;47167700;222409500;649051800;2109493000
13;141900;309200;1799600;4554200;25646600;67631700;419296100;1031388400
38;119900;348500;1288700;7872500;24735600;127962000;403888700;1544740300
11;88500;347700;1429500;10719400;44477900;288822800;1673270700;7561838100
14;51400;224400;1087200;5892400;39477100;182985200;951196600;4773455600
40;91800;481200;1798900;10664300;37133800;175743800;756761300;2711234200
42;77500;204500;722800;2532800;15114800;11062400;86768100;106975800
11;58400;216100;1140300;3427400;26995600;71038600;291249600;1464528700
38;100800;573700;4042600;12901700;87716500;337349000;1593513100;5457536000
13;80300;255400;899800;2860900;16751700;51139200;237599000;916776400
25;112500;839100;7731000;68946300;482353100;3672509600;33958919900;228766652900
25;95700;518000;2860000;8666400;54800400;142462700;733870400;2109278700
39;132900;205200;1693600;2067300;20580100;27190200;240257300;284938200
32;100100;407800;3300900;23059300;150935100;1155807800;12097202800;43935494200
19;112300;298900;2505600;10099300;68483100;295195300;1468077900;6228813600
17;82000;159500;661200;1682200;9107900;28607200;188466900;659556700
15;79500;283700;1609100;7627300;34884700;158865300;770898400;3756098000
45;107100;398200;971900;3670200;7261400;24701700;53945200;168870000
34;108000;310900;1230700;4411800;23319000;74924800;378609700;816720100
27;126800;456100;3605600;17054900;101804800;364649900;1171338500;6739209300
33;119200;537700;5113200;25934600;80775000;314507100;1199439700;3864750200
39;114700;359200;2447400;9116600;55819800;155491900;868677600;2160407500
33;89600;297700;909600;2682500;9896800;40833700;110667600;359523400
36;110500;539300;3150100;12202400;68767000;289350900;1542381900;5517259100
18;102900;575300;3062700;14277700;103407000;545056500;3082940100;16446862800
13;80000;379500;1961700;10170800;42863700;176827100;925798200;3470118900
40;144400;163500;1196100;1800000;11639000;17493600;100531900;193641000
18;122900;420300;1753700;6990000;35011700;122435800;855834100;2991311700
48;81700;146900;750100;1101500;5780700;9717600;26558600;68433500
31;101400;363600;1566200;7677700;40192500;113209800;390417800;1791815000
24;103400;311800;1885600;8874800;31886500;154058700;629555700;3624757900
35;113900;287600;1830900;2854300;28272400;44357200;434639200;495247800
41;71100;279900;1310900;4235200;18694800;53502200;243601300;712454300
19;113900;308800;1963000;5864300;33910000;142250100;669005000;2356415500
49;83000;235700;838200;2959100;6960000;28746500;58483500;178036900
19;132100;775200;4948300;27875000;148899400;646618600;2631000100;13533772500
25;86100;365100;1493300;7619500;29178900;132183000;685386500;2767545100
14;103700;294101;2165499;4439699;64227099;164612200;1065530499;3576082900
44;69700;247301;755400;2936900;9383299;53595100;131885601;548268500
16;134800;277901;1925700;5486600;46436900;96831101;750127001;1664074100
46;79600;391899;1738400;6569301;28042199;93000000;468736301;925747699
17;110499;415800;2292301;9152299;40684499;154634700;743711199;2712414399
10;84699;161200;1185300;2393400;20874900;57422701;423356700;1267362000
35;70200;643399;3956399;43730000;151114199;1826185201;4098683801;44362923499
46;51800;150300;791700;2101399;7000300;24533500;89639301;194119600
18;124501;447601;1513001;8191300;33163801;119457400;634266801;2480059099
35;66400;465700;1950701;13008400;48125399;252853501;1212530200;5693386799
46;81100;209300;1038600;5138101;17017601;51426501;186703900;558597199
24;97800;283800;1058599;1986100;13229901;30201900;151372900;354184200
36;115900;313500;1536299;4759600;33621400;84523900;578406800;1164708700
26;137300;281799;2490999;8649300;38170600;167773400;572910599;2971076600
28;82101;449000;3128200;20792100;115924100;504070499;2565988300;12151870500
32;112299;378900;3399100;11621700;55413000;183943900;1067669300;2524816799
44;73700;186900;1149601;2655101;14772899;27657401;119982500;166741501
29;92100;334399;1356100;7956600;28177200;211312700;637981701;4628461100
10;61500;216101;1217300;5270100;19327401;103896900;397024000;1505042400
27;94999;312400;1510801;6262499;30447100;122846600;533271601;2197049500
16;98399;670900;3718500;14489700;125218999;493636899;3280513900;13266197799
35;67300;346900;1391800;8034600;29899300;125172199;425468699;2323881300
24;125200;415600;2674800;8246301;34595600;121361399;500836801;1515414701
34;97200;480200;3347700;14359400;89523799;396610401;1688942299;6885799700
